EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
43,26,1,101,3,2016,15,2,1,101,9,4,10,320,1,4,97,99,2016
25,36,1,115,4,2016,17,4,1,115,4,4,10,320,9,4,97,42,2016
44,39,1,117,2,2016,31,1,1,117,9,4,32,320,1,5,97,97,2016
23,26,1,101,7,2016,9,7,1,108,9,9,32,320,9,5,26,97,2016
27,27,1,101,10,2016,1,10,1,101,9,4,32,320,4,5,441,34,2016
32,38,1,101,11,2016,28,8,1,101,9,4,32,320,9,5,26,31,2016
59,35,1,101,2,2017,23,12,1,101,4,9,32,484,5,1,99,25,2017
62,48,1,101,3,2017,17,12,1,101,4,4,32,320,5,4,41,26,2017
48,41,1,101,5,2016,23,4,3,301,9,4,40,320,5,5,41,25,2016
31,35,1,101,8,2016,23,7,1,101,9,4,40,320,1,4,52,99,2016
27,27,1,101,8,2016,5,6,1,101,9,4,52,320,9,4,97,99,2016
26,26,1,115,4,2016,9,4,1,115,4,4,56,320,9,5,97,97,2016
49,52,1,101,2,2017,6,8,6,609,9,4,56,320,4,5,24,23,2017
37,34,3,301,4,2016,27,2,3,301,9,9,68,718,1,4,23,99,2016
33,30,1,101,4,2016,5,3,1,101,4,4,68,320,5,6,24,21,2016
23,20,18,1802,8,2016,8,7,18,1802,4,4,68,320,3,3,97,97,2016
26,21,18,1802,8,2016,4,6,18,1802,4,4,68,320,4,4,97,921,2016
43,24,19,1901,9,2016,30,8,19,1901,4,4,68,320,9,4,97,52,2016
20,23,1,101,1,2016,16,1,1,101,4,4,76,320,9,4,99,97,2016
28,28,1,102,8,2016,16,7,1,101,5,4,76,320,4,4,97,99,2016
26,28,1,101,12,2016,1,12,1,101,9,4,76,320,5,4,34,22,2016
55,51,1,101,1,2017,16,12,1,101,9,4,76,320,1,5,21,99,2017
36,37,1,116,7,2016,24,6,1,117,4,4,84,320,3,3,97,99,2016
56,38,1,101,10,2016,2,9,1,101,9,4,100,320,9,4,41,99,2016
32,37,22,2202,1,2016,9,1,1,113,9,4,124,320,5,5,12,921,2016
23,25,1,101,5,2016,12,3,3,301,9,4,124,320,9,4,99,26,2016
38,29,1,101,9,2016,29,7,22,2214,9,4,124,320,1,5,34,52,2016
24,33,3,302,11,2016,30,10,3,302,9,4,124,320,1,4,41,52,2016
33,24,1,101,11,2016,12,10,1,101,9,9,124,320,5,4,34,21,2016
20,21,3,303,12,2016,18,11,3,303,9,4,124,320,1,4,23,61,2016
59,48,1,101,12,2016,10,12,3,304,9,4,124,320,9,4,97,52,2016
26,36,1,101,5,2017,19,11,1,108,4,4,124,320,4,5,99,43,2017
28,27,1,101,5,2016,25,4,1,101,9,4,152,320,5,5,24,24,2016
40,28,1,101,8,2016,15,6,1,101,4,4,152,320,5,5,23,99,2016
28,28,1,101,11,2016,22,10,1,102,4,4,152,320,6,5,99,26,2016
51,48,9,901,3,2016,7,2,9,901,5,4,156,320,4,5,52,52,2016
37,25,1,101,7,2016,18,3,1,101,9,4,156,320,9,3,52,52,2016
41,29,1,101,1,2016,2,1,1,101,9,4,170,320,1,5,26,99,2016
52,53,1,101,3,2016,11,2,1,101,9,4,170,320,9,5,22,24,2016
31,27,1,101,3,2016,4,2,1,101,4,9,170,643,5,9,99,33,2016
31,30,1,101,5,2016,16,4,1,101,9,9,170,484,9,9,441,99,2016
35,30,1,101,5,2016,11,5,1,108,4,4,170,484,5,4,52,52,2016
34,27,1,101,5,2016,16,2,1,101,9,4,170,320,5,5,21,26,2016
24,24,1,101,5,2016,30,4,1,106,9,4,170,320,9,4,97,97,2016
53,38,1,101,6,2016,14,5,3,301,4,4,170,320,5,5,441,99,2016
29,29,1,101,6,2016,4,6,1,101,9,9,170,484,5,1,99,21,2016
41,32,1,101,8,2016,28,6,1,101,9,4,170,320,5,1,99,21,2016
29,25,5,511,9,2016,23,8,5,511,9,9,170,320,9,4,41,22,2016
50,20,3,312,9,2016,27,8,3,312,9,4,170,320,1,4,97,99,2016
25,25,1,101,10,2016,22,9,1,101,9,4,170,320,9,4,35,99,2016
32,27,1,101,10,2016,30,9,1,101,9,4,170,320,1,5,21,99,2016
30,27,10,1001,10,2016,2,9,10,1001,9,4,170,320,9,2,52,52,2016
30,21,1,101,11,2016,8,10,1,101,4,4,170,320,4,3,99,24,2016
54,27,3,306,11,2016,22,10,3,306,4,4,170,320,9,4,23,52,2016
33,28,5,1702,12,2016,10,12,6,609,9,4,170,320,4,3,51,52,2016
28,22,1,101,1,2017,15,12,3,308,9,4,170,320,1,4,97,97,2017
28,32,17,1701,1,2017,31,12,17,1701,4,4,170,320,4,5,23,34,2017
46,44,1,101,2,2017,6,5,3,301,9,4,170,320,1,5,441,99,2017
37,42,1,101,2,2017,18,12,1,103,4,4,170,320,5,5,24,24,2017
29,30,1,101,3,2017,24,11,3,308,4,4,170,320,4,5,99,99,2017
35,34,1,101,5,2017,7,12,1,101,9,4,170,320,1,4,97,97,2017
30,33,1,101,6,2017,15,10,1,101,9,4,170,320,9,4,99,35,2017
28,32,1,101,2,2016,18,1,1,101,4,4,188,320,4,4,35,35,2016
25,26,1,101,5,2016,12,3,1,101,9,4,188,320,9,3,97,97,2016
31,25,13,1301,5,2016,24,4,13,1301,4,4,188,320,5,4,32,43,2016
46,34,1,101,7,2016,20,2,1,101,4,9,188,484,5,9,52,52,2016
59,46,1,101,11,2016,27,9,1,101,9,4,188,320,4,4,41,99,2016
22,24,1,101,11,2016,12,10,1,101,9,4,188,320,9,4,35,99,2016
27,25,1,101,11,2016,10,6,1,101,4,9,188,484,4,9,97,97,2016
999,999,1,101,12,2016,19,8,1,101,9,9,188,320,1,1,99,99,2016
28,30,1,101,12,2016,17,12,1,101,9,4,188,320,9,5,99,99,2016
42,40,1,101,1,2017,10,9,1,116,9,4,188,320,4,5,21,35,2017
43,29,16,1603,2,2016,16,1,16,1602,4,4,192,320,5,5,24,22,2016
48,31,5,501,2,2016,21,2,5,502,9,4,192,320,5,4,97,22,2016
31,38,14,1415,3,2016,21,3,14,1415,4,4,192,320,5,6,22,22,2016
52,37,1,101,4,2016,13,3,1,101,4,4,192,484,5,4,26,99,2016
59,50,3,301,4,2016,15,3,3,301,9,4,192,484,1,4,97,99,2016
43,23,3,301,4,2016,15,3,3,301,9,4,192,484,1,4,51,99,2016
30,27,12,1223,5,2016,9,5,12,1223,4,4,192,320,3,4,43,32,2016
50,45,1,101,6,2016,28,4,1,101,4,4,192,320,5,5,441,52,2016
49,36,22,2201,6,2016,31,5,22,2201,4,4,192,320,5,5,23,22,2016
45,38,14,1413,7,2016,16,7,14,1413,9,1,192,320,5,4,32,22,2016
45,42,17,1712,7,2016,16,7,17,1712,4,4,192,320,5,5,22,22,2016
46,41,1,101,9,2016,28,5,1,101,9,4,192,320,5,5,26,21,2016
36,32,1,101,10,2016,27,8,1,101,9,4,192,320,5,4,99,21,2016
50,44,3,308,10,2016,3,9,3,308,4,4,192,320,5,4,43,21,2016
28,45,12,1202,11,2016,3,11,12,1202,9,4,192,320,9,4,52,21,2016
32,27,1,101,3,2017,17,12,1,101,4,9,192,320,5,4,99,99,2017
55,45,9,903,2,2017,3,12,9,901,9,4,208,320,5,5,21,52,2017
22,21,10,1001,2,2016,9,1,10,1001,9,4,214,320,9,4,97,97,2016
40,42,1,101,5,2016,3,4,1,101,9,4,214,320,1,5,26,71,2016
32,29,1,105,6,2016,27,4,1,105,2,4,214,320,9,2,97,81,2016
28,26,1,101,7,2016,16,6,1,101,9,4,214,320,1,4,35,99,2016
46,38,1,101,8,2016,15,4,1,108,4,9,214,484,4,9,97,97,2016
35,29,2,201,9,2016,19,8,2,201,9,4,214,320,1,4,97,97,2016
25,33,6,603,2,2017,17,9,6,614,9,4,214,320,9,4,32,97,2017
47,24,19,1905,6,2016,10,6,19,1902,4,4,218,320,1,4,23,83,2016
30,26,8,802,7,2016,18,6,12,1202,9,9,218,320,5,5,22,22,2016
29,28,1,101,9,2016,22,7,1,101,9,4,218,320,9,5,26,26,2016
33,35,1,101,11,2016,23,11,1,101,9,4,218,320,9,5,24,24,2016
39,19,22,2208,1,2016,16,1,22,2208,4,4,222,320,9,2,97,921,2016
24,26,22,2204,1,2016,15,1,22,2204,9,4,222,320,1,1,97,51,2016
30,27,1,101,1,2016,8,1,3,301,4,4,222,320,9,5,26,26,2016
36,41,1,101,1,2016,12,1,1,101,9,4,222,320,2,2,97,83,2016
20,22,1,101,1,2016,13,1,1,101,9,4,222,320,1,4,23,99,2016
29,29,1,101,2,2016,16,1,1,110,9,4,222,320,1,4,97,97,2016
25,25,1,101,2,2016,30,1,1,116,4,4,222,320,1,4,97,97,2016
28,25,1,101,3,2016,30,1,1,108,9,9,222,320,9,4,99,99,2016
30,25,1,101,3,2016,11,2,3,301,9,4,222,320,9,5,24,11,2016
33,33,1,101,3,2016,26,2,1,101,5,4,222,320,2,4,23,99,2016
31,26,7,718,3,2016,4,3,7,718,9,1,222,320,2,2,97,97,2016
33,40,1,101,3,2016,27,2,1,101,9,4,222,320,1,4,97,97,2016
38,33,1,101,3,2016,26,2,1,101,4,4,222,320,3,4,52,52,2016
23,24,1,114,3,2016,30,1,1,115,9,1,222,320,9,4,34,26,2016
39,35,1,101,3,2016,10,1,1,101,9,4,222,320,1,2,97,81,2016
40,29,5,1702,3,2016,19,3,5,1702,4,4,222,320,9,3,97,62,2016
39,36,18,1804,4,2016,29,3,18,1804,4,1,222,320,1,4,97,52,2016
24,29,1,101,4,2016,11,3,1,101,9,4,222,320,9,4,41,99,2016
47,36,1,101,4,2016,16,1,1,101,9,4,222,320,5,4,41,52,2016
