EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
32,32,,101,2,2023,22,7,1,108,4,4,320,320,5,4,97,52,2023
24,19,,2006,7,2023,24,7,20,2006,4,4,320,320,4,9,97,97,2023
29,24,,1401,11,2023,19,11,14,1401,1,1,320,320,4,4,34,23,2023
27,20,,709,12,2023,18,11,7,711,1,1,320,320,3,9,97,921,2023
27,18,,1408,12,2023,30,11,14,1408,1,1,320,320,2,9,97,73,2023
27,27,,403,3,2023,18,3,4,403,1,1,320,320,4,4,97,31,2023
29,19,,806,4,2023,11,4,8,806,1,1,320,320,2,9,75,52,2023
38,23,,405,5,2023,16,5,4,405,1,1,320,320,2,1,97,921,2023
33,29,,101,4,2023,27,3,1,103,4,4,320,320,3,4,97,97,2023
22,18,,306,1,2023,7,1,3,306,1,1,320,320,3,9,52,75,2023
27,25,,110,2,2023,3,2,1,110,1,1,320,320,4,3,97,97,2023
20,24,,103,8,2023,8,8,1,103,4,9,320,320,9,2,97,921,2023
32,26,,1405,10,2023,13,10,14,1405,1,1,320,320,3,2,97,921,2023
24,19,,110,3,2023,24,2,1,110,9,1,320,320,4,9,97,97,2023
34,30,,1710,4,2023,3,4,17,1710,1,1,320,320,2,2,97,921,2023
26,25,,1607,3,2023,3,2,16,1607,1,1,320,320,3,2,97,541,2023
33,37,,1301,1,2023,11,11,13,1301,4,4,320,320,4,4,97,97,2023
25,25,,804,5,2023,9,5,8,804,1,1,320,320,3,5,97,75,2023
28,21,,1324,11,2023,30,10,13,1324,4,4,320,320,5,9,97,22,2023
25,23,,101,6,2023,10,6,19,1906,4,4,320,320,3,5,97,72,2023
27,18,,1610,8,2023,30,7,16,1610,4,1,320,320,4,9,75,97,2023
46,43,,1411,9,2023,22,9,14,1411,1,1,320,320,2,1,97,921,2023
28,28,,201,1,2023,7,1,20,2009,4,4,320,320,5,3,97,97,2023
37,28,,1705,7,2023,19,7,17,1705,4,4,320,320,1,2,97,921,2023
23,20,,1301,12,2023,10,12,13,1302,4,4,320,320,2,9,97,97,2023
47,35,,609,10,2023,12,9,6,609,4,4,320,320,2,2,97,97,2023
26,22,,413,5,2023,20,5,4,413,1,1,320,320,3,2,97,921,2023
27,25,,105,9,2023,30,8,1,105,4,4,320,320,4,2,97,72,2023
25,22,,201,4,2023,20,4,2,201,4,4,320,320,4,4,35,97,2023
